date	actual	predicted
20130706	318	318
20130708	477	445
20130709	318	349
20130710	477	381
20130711	318	349
20130712	318	381
20130713	318	318
20130715	477	445
20130716	318	349
20130717	477	381
20130718	318	349
20130719	318	381
20130720	318	318
20130722	477	445
20130723	318	349
20130724	477	413
20130725	318	349
20130726	318	349
20130727	318	318
20130729	477	445
20130730	318	349
20130731	477	445
20130801	318	318
20130802	318	349
20130803	318	318
20130805	318	477
20130806	318	318
20130807	318	477
20130808	318	318
20130810	318	318
20130812	477	445
20130813	318	318
20130814	318	445
20130817	318	318
20130819	318	445
20130820	318	318
20130821	318	413
20130824	318	318
20130826	477	413
20130827	477	318
20130828	318	381
20130902	318	413
20130903	318	349
20130904	318	349
20130910	159	349
20130911	318	318
20130917	444	318
20130918	444	318
20130924	318	343
20130925	159	343
20130926	477	375
20130927	318	375
20131001	318	343
20131003	318	406




